age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,expenditure_rate_first,expenditure_rate
0,female,0.067516483,0.040557677843892824,0.0,-0.03297235848346538,0.0,-0.008667472120537333,0.228850687315527,0.01914724018982837,0.0,0.0,0.0,0.0
0,male,0.07650646466666666,0.04062243036420705,0.0,-0.03282221546041016,0.0,-0.010023325438835669,0.2318048053762434,0.022397982746935902,0.0,0.0,0.0,0.0
1,female,0.07994304975,0.040555112484934944,0.03606961164530584,-0.029087292463389355,8.065286801511848e-05,-0.008862264976508726,0.2283864330220456,0.017112158498899604,0.0,0.0,0.0,0.0
1,male,0.0914576585,0.04063323958813138,0.04202346788041358,-0.029324503481898773,4.813443199429841e-05,-0.009538973451161021,0.23123030214983528,0.019786406021525496,0.0,0.0,0.0,0.0
2,female,0.0873989898,0.040553923427613804,0.03389927729354003,-0.02518928465154119,5.97379819735427e-05,-0.009051370457862477,0.22792312053062538,0.015078107030400634,0.0,0.0,0.0,0.0
2,male,0.10042837479999998,0.04063818027651683,0.04011458710668013,-0.025817354603012023,3.467529700614863e-05,-0.009043027623862249,0.2306572227677535,0.017176271308151088,0.0,0.0,0.0,0.0
3,female,0.10915325779999999,0.040534952132230365,0.036427796652627714,-0.021278287814040862,4.842934179281831e-05,-0.009234774735826814,0.22746074793069415,0.013045084741533429,0.0,0.0,0.0,0.0
3,male,0.1252188148,0.04063641321096421,0.042749157724544705,-0.02230073942233694,2.8161418779222512e-05,-0.008535447595586564,0.23008556370115507,0.014567576881513892,0.0,0.0,0.0,0.0
4,female,0.113842186,0.04051553964362561,0.02900241849946546,-0.017354254544576037,2.5497842205332198e-05,-0.009412463947908303,0.22699931331555692,0.011013090590544124,0.0,0.0,0.0,0.0
4,male,0.13136762400000002,0.04064306681835092,0.033963795571284754,-0.018774628446815867,1.4581934805274987e-05,-0.008016192864292858,0.22951532142993983,0.011960321018407216,0.0,0.0,0.0,0.0
5,female,0.112151904,0.04049717515272857,0.024247608106341478,-0.013417137263836247,1.4867220406856857e-05,-0.009584424197977028,0.22653881478238547,0.008982123536736166,0.0,0.0,0.0,0.0
5,male,0.12889581600000002,0.04063863934885208,0.02756458839201604,-0.015238992091510297,8.64052283780336e-06,-0.007485222787010779,0.22894649244273446,0.009354501997663174,0.0,0.0,0.0,0.0
6,female,0.11046162199999998,0.04047824863553063,0.02374423896699216,-0.009466888218880096,1.3553036445224912e-05,-0.009750641556058252,0.22607925043221194,0.006952182540468903,0.0,0.0,0.0,0.0
6,male,0.126424008,0.04063403874998172,0.02564566749601061,-0.011693800679356322,8.68706096557255e-06,-0.006942496579306713,0.22837907323686468,0.0067501181001871375,0.0,0.0,0.0,0.0
7,female,0.10877134,0.04045873389074733,0.023235143920274315,-0.00550345948244654,1.2276262580374106e-05,-0.009911102058362459,0.22562061836992103,0.004923266563150801,0.0,0.0,0.0,0.0
7,male,0.1239522,0.04062925466429801,0.02370543439524845,-0.00813902444079379,8.73555637588301e-06,-0.006387973314723513,0.22781306031834117,0.00414716760894083,0.0,0.0,0.0,0.0
8,female,0.10493113059999999,0.04039630770927764,0.021989756275431722,-0.0015268029523608903,1.1899056882984983e-05,-0.010065791707092028,0.22516291670424132,0.0028953745672543546,0.0,0.0,0.0,0.0
8,male,0.1161679124,0.04060583342289622,0.0213559114486975,-0.004574633513484981,9.270095899106187e-06,-0.0058216119243421245,0.22724845020183146,0.0015456488089344023,0.0,0.0,0.0,0.0
9,female,0.10109092119999999,0.040329138676401734,0.020426699028076655,0.0024631296490970032,1.2103294393706144e-05,-0.010214696470455063,0.2247061435477398,0.0008685055162698076,0.0,0.0,0.0,0.0
9,male,0.1083836248,0.040579047878457744,0.018834055990839687,-0.0010005979421096748,1.0173902090289385e-05,-0.005243371196241794,0.22668523941064359,-0.0010544400127783567,0.0,0.0,0.0,0.0
10,female,0.09725071180000001,0.0402566649388781,0.018847231248073314,0.006466386775862235,1.2324690088707055e-05,-0.010357802282541271,0.22425029701681037,-0.0011573416252220574,0.0,0.0,0.0,0.0
10,male,0.10059933719999999,0.04054811705061612,0.01628461717732372,0.0025831123220369863,1.118774639989307e-05,-0.004653209775144181,0.22612342447669884,-0.0036531005670676735,0.0,0.0,0.0,0.0
11,female,0.09341050240000001,0.040178232249824614,0.01725122673169282,0.004628667568582235,1.256534192967375e-05,-0.012565280663984022,0.22225621886003571,-0.0012888813008277806,0.0,0.0,0.0,0.0
